Statistic,standardScaler,zScores,normalized
Start Date,20-11-2018,20-11-2018,20-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000"
Ending Investment,"$7,494.59","$5,668.53","$11,538.12"
--------------------------,--------------------------,--------------------------,--------------------------
Signals,1029,1029,1029
Winning Trades,495,483,545
Losing Trades,532,544,482
% Winning,48.10%,46.94%,52.96%
% Losing,51.70%,52.87%,46.84%
Average Profit,0.44%,0.43%,0.44%
Average Loss,-0.46%,-0.48%,-0.47%
--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,3.10%,3.10%,3.20%
Min Daily Return,-3.84%,-3.84%,-3.84%
Max Drawdown,-33.75%,-46.85%,-30.03%
Annual Return,-7.06%,-13.43%,3.70%
Annual Volatility,10.12%,10.10%,10.13%
Sharpe Ratio,-0.8,-1.43,0.27
Beta,0.05,0.14,-0.06
