Statistic,standardScaler,zScores,normalized
Start Date,26-11-2018,26-11-2018,26-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000"
Ending Investment,"$10,721.39","$13,262.65","$10,493.69"
--------------------------,--------------------------,--------------------------,--------------------------
Signals,990,990,990
Winning Trades,470,497,498
Losing Trades,514,487,486
% Winning,47.47%,50.20%,50.30%
% Losing,51.92%,49.19%,49.09%
Average Profit,0.76%,0.74%,0.71%
Average Loss,-0.67%,-0.69%,-0.71%
--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,4.98%,5.95%,5.59%
Min Daily Return,-5.95%,-4.98%,-5.95%
Max Drawdown,-36.75%,-27.51%,-23.70%
Annual Return,1.79%,7.47%,1.24%
Annual Volatility,16.07%,16.04%,16.09%
Sharpe Ratio,0.05,0.4,0.01
Beta,-0.44,0.21,0.09
