Statistic,standardScaler,zScores,normalized
Start Date,26-11-2018,26-11-2018,26-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000"
Ending Investment,"$10,154.11","$16,241.0","$8,274.27"
--------------------------,--------------------------,--------------------------,--------------------------
Signals,989,989,989
Winning Trades,454,514,473
Losing Trades,535,475,516
% Winning,45.91%,51.97%,47.83%
% Losing,54.10%,48.03%,52.17%
Average Profit,1.04%,0.96%,0.97%
Average Loss,-0.86%,-0.92%,-0.91%
--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,11.98%,9.38%,9.38%
Min Daily Return,-7.03%,-11.98%,-11.98%
Max Drawdown,-51.56%,-47.68%,-39.69%
Annual Return,0.39%,13.17%,-4.72%
Annual Volatility,22.80%,23.11%,23.11%
Sharpe Ratio,-0.03,0.53,-0.25
Beta,-0.68,0.44,0.24
