Statistic,standardScaler,zScores,normalized
Start Date,26-11-2018,26-11-2018,26-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000"
Ending Investment,"$10,515.21","$9,345.29","$4,607.89"
--------------------------,--------------------------,--------------------------,--------------------------
Signals,990,990,990
Winning Trades,497,516,500
Losing Trades,487,468,484
% Winning,50.20%,52.12%,50.51%
% Losing,49.19%,47.27%,48.89%
Average Profit,2.32%,2.23%,2.23%
Average Loss,-2.19%,-2.29%,-2.29%
--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,37.66%,37.66%,37.66%
Min Daily Return,-45.21%,-45.21%,-45.21%
Max Drawdown,-79.82%,-80.02%,-78.92%
Annual Return,1.29%,-1.71%,-17.93%
Annual Volatility,65.78%,67.12%,65.92%
Sharpe Ratio,0,-0.04,-0.29
Beta,0.57,-0.03,0.41
