model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.50 , 0.90 , 0.64 , 367 
,1, 0.60 , 0.15 , 0.24 , 389 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.55 , 0.52 , 0.44 , 756 
,weighted avg, 0.55 , 0.51 , 0.43 , 756 
,,,,,
zScores,-1, 0.48 , 0.35 , 0.41 , 367 
,1, 0.51 , 0.65 , 0.57 , 389 
,accuracy, 0.50 , 0.50 , 0.50 , 0.50 
,macro avg, 0.50 , 0.50 , 0.49 , 756 
,weighted avg, 0.50 , 0.50 , 0.49 , 756 
,,,,,
normalized,-1, 0.49 , 0.58 , 0.53 , 367 
,1, 0.52 , 0.43 , 0.47 , 389 
,accuracy, 0.50 , 0.50 , 0.50 , 0.50 
,macro avg, 0.50 , 0.50 , 0.50 , 756 
,weighted avg, 0.51 , 0.50 , 0.50 , 756 
