model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.51 , 0.51 , 0.51 , 235.00 
,1, 0.49 , 0.48 , 0.48 , 226.00 
,accuracy, 0.50 , 0.50 , 0.50 , 0.50 
,macro avg, 0.50 , 0.50 , 0.50 , 461.00 
,weighted avg, 0.50 , 0.50 , 0.50 , 461.00 
,,,,,
zScores,-1, 0.52 , 0.49 , 0.51 , 235.00 
,1, 0.50 , 0.53 , 0.51 , 226.00 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.51 , 0.51 , 0.51 , 461.00 
,weighted avg, 0.51 , 0.51 , 0.51 , 461.00 
,,,,,
normalized,-1, 0.47 , 0.32 , 0.38 , 235.00 
,1, 0.47 , 0.63 , 0.54 , 226.00 
,accuracy, 0.47 , 0.47 , 0.47 , 0.47 
,macro avg, 0.47 , 0.47 , 0.46 , 461.00 
,weighted avg, 0.47 , 0.47 , 0.46 , 461.00 
