model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.52 , 0.54 , 0.53 , 512 
,1, 0.52 , 0.50 , 0.51 , 516 
,accuracy, 0.52 , 0.52 , 0.52 , 0.52 
,macro avg, 0.52 , 0.52 , 0.52 , 1 028 
,weighted avg, 0.52 , 0.52 , 0.52 , 1 028 
,,,,,
zScores,-1, 0.51 , 0.53 , 0.52 , 512 
,1, 0.52 , 0.50 , 0.51 , 516 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.51 , 0.51 , 0.51 , 1 028 
,weighted avg, 0.51 , 0.51 , 0.51 , 1 028 
,,,,,
normalized,-1, 0.51 , 0.43 , 0.47 , 512 
,1, 0.51 , 0.58 , 0.54 , 516 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.51 , 0.51 , 0.50 , 1 028 
,weighted avg, 0.51 , 0.51 , 0.50 , 1 028 
