model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.47 , 0.50 , 0.48 , 502 
,1, 0.49 , 0.47 , 0.48 , 527 
,accuracy, 0.48 , 0.48 , 0.48 , 0.48 
,macro avg, 0.48 , 0.48 , 0.48 , 1 029 
,weighted avg, 0.48 , 0.48 , 0.48 , 1 029 
,,,,,
zScores,-1, 0.46 , 0.48 , 0.47 , 502 
,1, 0.48 , 0.46 , 0.47 , 527 
,accuracy, 0.47 , 0.47 , 0.47 , 0.47 
,macro avg, 0.47 , 0.47 , 0.47 , 1 029 
,weighted avg, 0.47 , 0.47 , 0.47 , 1 029 
,,,,,
normalized,-1, 0.52 , 0.55 , 0.53 , 502 
,1, 0.54 , 0.51 , 0.53 , 527 
,accuracy, 0.53 , 0.53 , 0.53 , 0.53 
,macro avg, 0.53 , 0.53 , 0.53 , 1 029 
,weighted avg, 0.53 , 0.53 , 0.53 , 1 029 
