model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.45 , 0.77 , 0.57 , 443 
,1, 0.56 , 0.24 , 0.34 , 547 
,accuracy, 0.48 , 0.48 , 0.48 , 0.48 
,macro avg, 0.51 , 0.50 , 0.45 , 990 
,weighted avg, 0.51 , 0.48 , 0.44 , 990 
,,,,,
zScores,-1, 0.44 , 0.41 , 0.42 , 443 
,1, 0.55 , 0.59 , 0.57 , 547 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.50 , 0.50 , 0.50 , 990 
,weighted avg, 0.50 , 0.51 , 0.50 , 990 
,,,,,
normalized,-1, 0.45 , 0.49 , 0.47 , 443 
,1, 0.55 , 0.52 , 0.54 , 547 
,accuracy, 0.50 , 0.50 , 0.50 , 0.50 
,macro avg, 0.50 , 0.50 , 0.50 , 990 
,weighted avg, 0.51 , 0.50 , 0.51 , 990 
