model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.49 , 0.61 , 0.55 , 470 
,1, 0.55 , 0.43 , 0.48 , 519 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.52 , 0.52 , 0.51 , 989 
,weighted avg, 0.52 , 0.51 , 0.51 , 989 
zScores,-1, 0.49 , 0.41 , 0.45 , 470 
,1, 0.54 , 0.61 , 0.57 , 519 
,accuracy, 0.52 , 0.52 , 0.52 , 0.52 
,macro avg, 0.51 , 0.51 , 0.51 , 989 
,weighted avg, 0.52 , 0.52 , 0.51 , 989 
normalized,-1, 0.52 , 0.39 , 0.44 , 470 
,1, 0.55 , 0.67 , 0.60 , 519 
,accuracy, 0.54 , 0.54 , 0.54 , 0.54 
,macro avg, 0.53 , 0.53 , 0.52 , 989 
,weighted avg, 0.53 , 0.54 , 0.53 , 989 
