model,scores,precision,recall,f1-score,support
standardScaler,-1, 0.44 , 0.41 , 0.43 , 439 
,1, 0.55 , 0.58 , 0.57 , 551 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.50 , 0.50 , 0.50 , 990 
,weighted avg, 0.50 , 0.51 , 0.50 , 990 
,,,,,
zScores,-1, 0.47 , 0.54 , 0.50 , 439 
,1, 0.58 , 0.51 , 0.54 , 551 
,accuracy, 0.52 , 0.52 , 0.52 , 0.52 
,macro avg, 0.52 , 0.52 , 0.52 , 990 
,weighted avg, 0.53 , 0.52 , 0.52 , 990 
,,,,,
normalized,-1, 0.45 , 0.45 , 0.45 , 439 
,1, 0.56 , 0.56 , 0.56 , 551 
,accuracy, 0.51 , 0.51 , 0.51 , 0.51 
,macro avg, 0.50 , 0.51 , 0.51 , 990 
,weighted avg, 0.51 , 0.51 , 0.51 , 990 
