Statistic,Buy&Hold,MACD,RSI,Impulse,Bollinger
Start Date,5-10-2020,5-10-2020,5-10-2020,5-10-2020,5-10-2020
End Date,30-10-2022,30-10-2022,30-10-2022,30-10-2022,30-10-2022
Initial Investment,"$10,000","$10,000","$10,000","$10,000","$10,000"
Ending Investment,"$19,327.6","$12,550.49","$2,143.34","$29,653.4","$2,141.44"
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Signals,755,750,739,742,464
Winning Trades,389,372,364,380,232
Losing Trades,366,378,375,362,232
% Winning,51.52%,49.60%,49.26%,51.21%,50.00%
% Losing,48.48%,50.40%,50.74%,48.79%,50.00%
Average Profit,2.80%,2.85%,2.65%,2.86%,2.53%
Average Loss,-2.65%,-2.60%,-2.84%,-2.56%,-3.04%
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,18.75%,18.75%,15.97%,18.75%,13.28%
Min Daily Return,-15.97%,-15.97%,-18.75%,-14.54%,-15.97%
Max Drawdown,-84.31%,-66.71%,-90.33%,-77.97%,-80.72%
Annual Return,37.52%,11.61%,-52.51%,69.13%,-52.53%
Annual Volatility,60.22%,60.18%,60.31%,59.47%,47.94%
Sharpe Ratio,0.61,0.18,-0.89,1.15,-1.12
Beta,1,-0.0,-0.99,-0.08,0.02
