Statistic,Buy&Hold,MACD,RSI,Impulse,Bollinger
Start Date,27-7-2021,27-7-2021,27-7-2021,27-7-2021,27-7-2021
End Date,30-10-2022,30-10-2022,30-10-2022,30-10-2022,30-10-2022
Initial Investment,"$10,000","$10,000","$10,000","$10,000","$10,000"
Ending Investment,"$6,848.17","$7,195.5","$8,371.63","$20,862.46","$2,582.77"
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Signals,460,457,450,449,293
Winning Trades,226,214,233,223,147
Losing Trades,234,243,217,226,146
% Winning,49.13%,46.83%,51.78%,49.67%,50.17%
% Losing,50.87%,53.17%,48.22%,50.33%,49.83%
Average Profit,3.38%,3.57%,3.23%,3.58%,2.96%
Average Loss,-3.24%,-3.10%,-3.35%,-3.02%,-3.69%
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,17.93%,17.93%,16.65%,17.93%,13.49%
Min Daily Return,-16.65%,-16.65%,-17.93%,-13.49%,-17.93%
Max Drawdown,-79.35%,-72.50%,-68.82%,-71.23%,-80.61%
Annual Return,-25.95%,-22.98%,-13.15%,79.23%,-65.84%
Annual Volatility,70.30%,70.00%,69.25%,68.45%,58.80%
Sharpe Ratio,-0.38,-0.34,-0.2,1.14,-1.14
Beta,1,0.0,-0.97,-0.16,0.11
