Statistic,Buy&Hold,MACD,RSI,Impulse,Bollinger
Start Date,20-11-2018,20-11-2018,20-11-2018,20-11-2018,20-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000","$10,000","$10,000"
Ending Investment,"$8,753.63","$8,638.8","$9,221.52","$8,782.83","$11,778.17"
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Signals,1027,1027,703,1027,534
Winning Trades,512,493,352,487,281
Losing Trades,511,530,348,536,250
% Winning,49.85%,48.00%,50.07%,47.42%,52.62%
% Losing,49.76%,51.61%,49.50%,52.19%,46.82%
Average Profit,0.32%,0.33%,0.36%,0.33%,0.34%
Average Loss,-0.34%,-0.33%,-0.38%,-0.32%,-0.32%
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,1.61%,2.78%,1.61%,2.78%,1.61%
Min Daily Return,-2.78%,-1.61%,-2.78%,-1.61%,-1.74%
Max Drawdown,-22.24%,-18.86%,-22.24%,-18.75%,-15.10%
Annual Return,-3.32%,-3.65%,-2.04%,-3.24%,4.24%
Annual Volatility,7.02%,7.01%,6.42%,7.01%,4.98%
Sharpe Ratio,-0.62,-0.66,-0.47,-0.61,0.65
Beta,1,-0.03,0.84,-0.24,0.12
