Statistic,Buy&Hold,MACD,RSI,Impulse,Bollinger
Start Date,26-11-2018,26-11-2018,26-11-2018,26-11-2018,26-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000","$10,000","$10,000"
Ending Investment,"$13,506.44","$7,859.85","$7,742.96","$6,627.22","$9,646.89"
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Signals,989,988,849,989,541
Winning Trades,541,482,382,483,256
Losing Trades,442,500,461,500,281
% Winning,54.70%,48.79%,44.99%,48.84%,47.32%
% Losing,44.69%,50.61%,54.30%,50.56%,51.94%
Average Profit,0.68%,0.71%,0.80%,0.69%,0.74%
Average Loss,-0.75%,-0.72%,-0.71%,-0.74%,-0.68%
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,5.95%,4.61%,4.98%,4.63%,5.95%
Min Daily Return,-4.98%,-5.95%,-5.95%,-5.95%,-3.59%
Max Drawdown,-40.96%,-33.76%,-37.35%,-49.68%,-23.69%
Annual Return,7.97%,-5.96%,-6.32%,-9.96%,-0.91%
Annual Volatility,16.06%,16.10%,15.54%,16.09%,12.00%
Sharpe Ratio,0.43,-0.43,-0.47,-0.68,-0.16
Beta,1,0.06,-0.94,0.1,-0.06
