Statistic,Buy&Hold,MACD,RSI,Impulse,Bollinger
Start Date,26-11-2018,26-11-2018,26-11-2018,26-11-2018,26-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000","$10,000","$10,000"
Ending Investment,"$12,371.29","$18,348.24","$14,577.56","$6,542.65","$11,099.01"
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Signals,988,988,970,987,523
Winning Trades,518,499,514,495,272
Losing Trades,469,488,455,491,251
% Winning,52.43%,50.51%,52.99%,50.15%,52.01%
% Losing,47.47%,49.39%,46.91%,49.75%,47.99%
Average Profit,1.25%,1.33%,1.25%,1.24%,1.41%
Average Loss,-1.30%,-1.21%,-1.29%,-1.30%,-1.44%
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,9.39%,14.27%,9.39%,14.27%,9.39%
Min Daily Return,-14.27%,-9.39%,-14.27%,-9.39%,-14.27%
Max Drawdown,-59.42%,-50.83%,-59.42%,-62.31%,-38.27%
Annual Return,5.58%,16.74%,10.09%,-10.26%,2.70%
Annual Volatility,29.26%,28.84%,28.99%,28.89%,24.65%
Sharpe Ratio,0.16,0.55,0.31,-0.39,0.07
Beta,1,-0.26,0.98,-0.36,0.36
