Statistic,Buy&Hold,MACD,RSI,Impulse,Bollinger
Start Date,26-11-2018,26-11-2018,26-11-2018,26-11-2018,26-11-2018
End Date,28-10-2022,28-10-2022,28-10-2022,28-10-2022,28-10-2022
Initial Investment,"$10,000","$10,000","$10,000","$10,000","$10,000"
Ending Investment,"$14,436.0","$12,035.46","$16,468.8","$11,279.72","$14,290.96"
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Signals,988,988,970,987,490
Winning Trades,538,500,532,529,246
Losing Trades,450,488,438,458,244
% Winning,54.45%,50.61%,54.85%,53.60%,50.20%
% Losing,45.55%,49.39%,45.15%,46.40%,49.80%
Average Profit,0.91%,0.96%,0.91%,0.90%,1.15%
Average Loss,-0.98%,-0.92%,-0.96%,-0.99%,-0.99%
--------------------------,--------------------------,--------------------------,--------------------------,--------------------------,--------------------------
Max Daily Return,9.38%,11.98%,9.38%,11.98%,9.38%
Min Daily Return,-11.98%,-9.38%,-11.98%,-9.38%,-11.98%
Max Drawdown,-53.35%,-37.27%,-53.35%,-39.80%,-44.95%
Annual Return,9.82%,4.84%,13.57%,3.12%,9.53%
Annual Volatility,23.15%,23.00%,22.87%,23.02%,19.67%
Sharpe Ratio,0.38,0.17,0.55,0.09,0.43
Beta,1,-0.4,0.98,-0.45,0.5
